propertyid,node_id,grocery_2k,lightrail_2k,transit_cen_2k,food_drink_2k,cafe_2k,college_2k,entertainment_2k,parks_2k,tract_fips,bg_fips
10139337,47364771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53011040710,530110407103
4221338,454105204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,41005022105,410050221052
9435704,4719691686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53011040710,530110407103
10351398,47299671,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,53011041312,530110413122
4496573,4381817091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,41067031006,410670310064
4184911,47335117,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,53011041318,530110413183
1515891,1237618388,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,53011041322,530110413222
7761398,47269503,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,53011041322,530110413223
8014639,47356803,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,53011041322,530110413223
6047067,1627675039,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,53011041319,530110413191
7762437,47226188,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,53011040411,530110404111
7761347,37417923,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,41005022103,410050221031
7761498,2464231850,0.0,1.0,0.0,4.0,2.0,0.0,0.0,21.0,41067031611,410670316113
4393640,3888034973,1.0,3.0,0.0,5.0,0.0,0.0,0.0,11.0,41051009301,410510093012
4230110,333793773,0.0,4.0,0.0,12.0,0.0,0.0,1.0,11.0,41051009301,410510093013
6888093,1668099035,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,41051009501,410510095011
8856966,1422546766,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,41005022103,410050221032
6308950,4879421655,1.0,5.0,0.0,15.0,0.0,0.0,1.0,13.0,41051009606,410510096061
1508134,1232568092,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,53011041320,530110413204
7762315,1327809841,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,53011041320,530110413204
4599485,1262415834,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,53011041328,530110413282
9008586,1232872689,0.0,3.0,0.0,2.0,4.0,0.0,0.0,24.0,41067031612,410670316121
9494003,3761194425,0.0,3.0,1.0,2.0,4.0,0.0,0.0,25.0,41067031612,410670316121
4469340,1216807924,0.0,0.0,0.0,8.0,4.0,0.0,1.0,27.0,41067031610,410670316102
9162006,1232515894,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,53011041329,530110413291
7041397,47182968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53011040412,530110404121
8941437,3730904312,0.0,1.0,1.0,8.0,5.0,0.0,1.0,31.0,41067031610,410670316102
4354002,3739762914,0.0,0.0,0.0,7.0,4.0,0.0,0.0,27.0,41067031617,410670316172
9369777,38761971,0.0,2.0,1.0,2.0,2.0,0.0,0.0,46.0,41067031609,410670316091
9351250,264167746,0.0,1.0,0.0,6.0,4.0,0.0,0.0,28.0,41067031609,410670316092
6411542,40608079,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,41051010305,410510103051
8947367,40626966,0.0,0.0,0.0,6.0,3.0,0.0,1.0,34.0,41051010303,410510103032
1292940,40469359,0.0,0.0,0.0,6.0,2.0,0.0,1.0,35.0,41051010306,410510103062
6783107,252023387,0.0,2.0,0.0,5.0,2.0,0.0,0.0,68.0,41067032408,410670324082
8894825,40642252,2.0,1.0,0.0,4.0,1.0,0.0,0.0,15.0,41051009201,410510092012
6206137,1222462629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41067030402,410670304021
8152740,40529712,3.0,3.0,0.0,2.0,1.0,0.0,1.0,13.0,41051007202,410510072021
9609808,5090920245,0.0,4.0,1.0,18.0,6.0,1.0,0.0,44.0,41067031200,410670312004
9886518,1627660298,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,53011041317,530110413171
