id,lat,lon,name,amenity,alias
937436120,45.4882448,-122.7994555,Izzy's Pizza,restaurant,food_drink
940961806,45.5199879,-122.4013073,La Costita,restaurant,food_drink
962355295,45.5161848,-122.7532942,Biscuits Cafe,restaurant,food_drink
962355297,45.5163539,-122.7535785,Sandoval's,restaurant,food_drink
962355300,45.5160683,-122.7527256,Joy Wok,restaurant,food_drink
973259034,45.524605,-122.699254,Limo,restaurant,food_drink
1006231718,45.6932659,-122.6636858,Bortolami's Pizzeria,restaurant,food_drink
1023495695,45.5052218,-122.6007736,Pizzicato,restaurant,food_drink
1073808607,45.4046008,-122.7229272,Deno's Pizzaria,restaurant,food_drink
1086981333,45.4895937,-122.5565465,The Takehashi,restaurant,food_drink
1137097979,45.445624,-122.777072,Thirsty Lion Pub & Grill,restaurant,food_drink
1151714356,45.4071204,-122.7247469,Round Table Pizza,restaurant,food_drink
1165549304,45.526559,-122.6369298,Pambiche,restaurant,food_drink
1168495009,45.533637,-122.6201218,Mio Sushi,restaurant,food_drink
1168670797,45.3904066,-122.6446507,Bugatti's,restaurant,food_drink
1168671469,45.3905423,-122.6444627,Thai Orchid,restaurant,food_drink
1169326319,45.5155154,-122.9038158,Godfathers Pizza,restaurant,food_drink
1173876505,45.3849401,-122.6397417,Hungry Howie's Pizza,restaurant,food_drink
1188669623,45.5369601,-122.7051349,Meriwether's Restaurant,restaurant,food_drink
1188669625,45.5366745,-122.7052422,Acapulco's Gold,restaurant,food_drink
1196154982,45.5315251,-122.9578103,Kokiyo Teriyaki,restaurant,food_drink
1211532348,45.3986073,-122.272354,Paola's Pizza and Pasta,restaurant,food_drink
1213730816,45.5227627,-122.6473816,East Burn,restaurant,food_drink
1214380414,45.535853,-122.699669,Ataula,restaurant,food_drink
1234059093,45.5267237,-122.6376423,Dove Vivi,restaurant,food_drink
1234328082,45.5163481,-122.6304819,Laughing Planet,restaurant,food_drink
1235424316,45.5352053,-122.6511499,Chai Yo,restaurant,food_drink
1236850835,45.4867283,-122.8063044,Decarli,restaurant,food_drink
1246486669,45.5379417,-122.8788156,Buffalo Wild Wings,restaurant,food_drink
1266155799,45.4921942,-122.8275132,Abiruchi,restaurant,food_drink
1271742540,45.2205124,-122.5819679,Mulino Hangar Cafe,restaurant,food_drink
1272078311,45.3097391,-122.7670118,Bullwinkle's,restaurant,food_drink
1305476179,45.4322735,-122.371816,Red Apple Restaurant,restaurant,food_drink
1306161310,45.5286287,-122.6762666,Wilf's Restaurant,restaurant,food_drink
1320495762,45.5225131,-122.9883868,Aybla Mediterranean Grill,restaurant,food_drink
1334717078,45.490956,-122.806751,Mio Sushi,restaurant,food_drink
1360640604,45.3819488,-122.7613757,Hayden's Grill,restaurant,food_drink
1364850536,45.5398008,-122.6115216,Der Rheinlander,restaurant,food_drink
1391691099,45.433784,-122.570617,Claim Jumper,restaurant,food_drink
1394259707,45.5046009,-122.6201024,Sckavone's,restaurant,food_drink
1401319566,45.4773919,-122.5589018,Taqueria El Cazador,restaurant,food_drink
1403852985,45.5303115,-122.9606417,Gengis Khan Mongolian Grill,restaurant,food_drink
1412690398,45.508015,-122.577894,My Brother's Crawfish,restaurant,food_drink
1413918937,45.564963,-122.912049,Out Of This World Pizza,restaurant,food_drink
1457419289,45.4931982,-122.6360518,Yoko's,restaurant,food_drink
1457420610,45.4803906,-122.6497183,Papa Hayden's,restaurant,food_drink
1474821640,45.3013133,-122.9641511,Subterra,restaurant,food_drink
1475711024,45.5173536,-122.662613,Le Bistro Montage,restaurant,food_drink
1510806497,45.3067344,-122.7646366,Dar Essalam,restaurant,food_drink
1545229192,45.515284,-122.666026,Clark Lewis,restaurant,food_drink
1558920092,45.5264277,-122.6814037,Phó Văn Fresh,restaurant,food_drink
1560144137,45.5367447,-122.7000604,,restaurant,food_drink
1611343517,45.3036213,-122.7670621,Juan Colorado,restaurant,food_drink
1613902363,45.3036924,-122.7726033,Hunan Kitchen,restaurant,food_drink
1613902364,45.3035981,-122.7726891,Sushi Ave,restaurant,food_drink
1615448277,45.5303617,-122.6987215,Dorio Greek Taverna,restaurant,food_drink
1629227930,45.3975318,-122.2613088,Wall Street Pizza,restaurant,food_drink
1701998543,45.2627409,-122.6959884,Backstop Bar & Grill,restaurant,food_drink
1711111918,45.569522,-122.6823877,Nite Hawk,restaurant,food_drink
1742239470,45.6170109,-122.5078466,Arawan Thai Cuisine,restaurant,food_drink
1742239493,45.6170004,-122.5073396,KC Teriyaki,restaurant,food_drink
1786510423,45.6578418,-122.5893216,Sushi Factory,restaurant,food_drink
1797081767,45.6575165,-122.5998161,,restaurant,food_drink
1809348188,45.4789831,-122.6063018,Mezza Middle Eastern Cuisine,restaurant,food_drink
1809349228,45.4789699,-122.6050036,Super Torta,restaurant,food_drink
1811986406,45.5230413,-122.6541573,Noble Rot,restaurant,food_drink
1811996425,45.490986,-122.806991,Mingo,restaurant,food_drink
1859689515,45.5314364,-122.6948173,Marrakesh,restaurant,food_drink
